resource_id,type,network_address,state,next_state,finaud_decision,next_finaud_decision,state_num,suspended_jobs,scheduler_priority,cpuset,besteffort,deploy,expiry_date,desktop_computing,last_job_date,available_upto,last_available_upto,drain,gpumodel,core,cpu,gpu,gpudevice,host,ip,fall,devel,mig,migdevice,total_mem,cpumodel,n_cpus,n_cores,n_gpus,mem_per_gpu,cpubrand,scratch1_loc,scratch1
414,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,45,YES,NO,0,NO,1651485802,2147483647,0,NO,A100,348,45,139,1,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
581,default,bigfoot2,Alive,UnChanged,YES,NO,1,NO,0,24,YES,NO,0,NO,1651399929,2147483647,0,NO,V100,515,52,151,1,bigfoot2,129.88.197.52,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
386,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,17,YES,NO,0,NO,1651494778,2147483647,0,NO,A100,320,44,138,0,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
7,default,bigfoot8,Alive,UnChanged,NO,NO,1,NO,0,34,YES,NO,0,NO,1651410208,2147483647,0,NO,V100,7,1,1,0,bigfoot8,129.88.198.148,NO,NO,NO,,192,Gold 5218R,2,40,4,48,intel,/var/tmp,383
219,default,bigfoot10,Alive,UnChanged,YES,NO,1,NO,0,50,YES,NO,0,NO,1651495819,2147483647,0,NO,A100,155,6,8,1,bigfoot10,129.88.198.150,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
357,default,bigfoot7,Alive,UnChanged,YES,NO,1,NO,0,52,YES,NO,0,NO,1651050510,2147483647,0,NO,A100,291,43,137,1,bigfoot7,129.88.198.145,NO,YES,YES,13,192,EPYC 7452,2,64,2,96,amd,/var/tmp,417
212,default,bigfoot10,Alive,UnChanged,YES,NO,1,NO,0,43,YES,NO,0,NO,1651495819,2147483647,0,NO,A100,148,6,8,1,bigfoot10,129.88.198.150,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
37,default,bigfoot8,Alive,UnChanged,NO,NO,1,NO,0,33,YES,NO,0,NO,1651345091,2147483647,0,NO,V100,37,2,4,3,bigfoot8,129.88.198.148,NO,NO,NO,,192,Gold 5218R,2,40,4,48,intel,/var/tmp,383
39,default,bigfoot8,Alive,UnChanged,NO,NO,1,NO,0,37,YES,NO,0,NO,1651345091,2147483647,0,NO,V100,39,2,4,3,bigfoot8,129.88.198.148,NO,NO,NO,,192,Gold 5218R,2,40,4,48,intel,/var/tmp,383
250,default,virgo8,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1650081678,2147483647,0,NO,T4,184,14,18,0,virgo8,129.88.179.137,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
167,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,35,YES,NO,0,NO,1651476214,2147483647,2147483647,NO,A100,103,4,6,1,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
141,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,41,YES,NO,0,NO,1651476214,2147483647,2147483647,NO,A100,77,4,6,1,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
160,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,60,YES,NO,0,NO,1651476214,2147483647,2147483647,NO,A100,96,4,6,1,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
380,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,11,YES,NO,0,NO,1651494778,2147483647,0,NO,A100,314,44,138,0,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
254,default,virgo10,Alive,UnChanged,NO,NO,1,NO,0,1,YES,NO,0,NO,1649061740,2147483647,0,NO,T4,188,16,110,0,virgo10,129.88.179.139,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
38,default,bigfoot8,Alive,UnChanged,NO,NO,1,NO,0,35,YES,NO,0,NO,1651345091,2147483647,0,NO,V100,38,2,4,3,bigfoot8,129.88.198.148,NO,NO,NO,,192,Gold 5218R,2,40,4,48,intel,/var/tmp,383
252,default,virgo9,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1649061709,2147483647,0,NO,T4,186,15,19,0,virgo9,129.88.179.138,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
257,default,virgo12,Absent,UnChanged,NO,NO,2,NO,0,0,YES,NO,0,NO,1649061740,2147483647,0,NO,T4,191,18,112,0,virgo12,129.88.179.141,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
366,default,bigfoot7,Alive,UnChanged,YES,NO,1,NO,0,61,YES,NO,0,NO,1651050510,2147483647,0,NO,A100,300,43,137,1,bigfoot7,129.88.198.145,NO,YES,YES,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,417
402,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,33,YES,NO,0,NO,1651485802,2147483647,0,NO,A100,336,45,139,1,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
406,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,37,YES,NO,0,NO,1651485802,2147483647,0,NO,A100,340,45,139,1,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
